seed,n_customers,ngroute_neighborhood_size,ngroute_neighborhood_depots_size,ngroute_neighborhood_charging_size,method,ngroute_alt,time_taken_first,time_taken_total,n_iterations,n_CG_iterations,sp_time_taken_mean_first,sp_time_taken_mean_last,LP_objective_first,LP_objective_last,IP_objective_first,IP_objective_last,LP_IP_gap_first,LP_IP_gap_last
2,16,4,small,medium,benchmark,false,8.07,8.080201084,1,10,0.804,0.804,935864.0,935864.0,935864.0,935864.0,0.0,0.0
3,16,4,small,medium,benchmark,true,13.017,13.037475542,1,11,1.1786363636363637,1.1786363636363637,648910.0,648910.0,649010.0,649010.0,0.015408083080381552,0.015408083080381552
3,16,4,small,medium,benchmark,false,19.794,19.813463791,1,11,1.7946363636363636,1.7946363636363636,648910.0,648910.0,649010.0,649010.0,0.015408083080381552,0.015408083080381552
4,16,4,small,medium,benchmark,true,9.72,9.741668,1,11,0.8779090909090909,0.8779090909090909,535531.0,535531.0,535531.0,535531.0,0.0,0.0
4,16,4,small,medium,benchmark,false,15.427,15.449507125,1,11,1.3968181818181817,1.3968181818181817,535531.0,535531.0,535531.0,535531.0,0.0,0.0
5,16,4,small,medium,benchmark,true,15.395,15.418371959,1,12,1.2775833333333333,1.2775833333333333,630044.0,630044.0,633472.0,633472.0,0.5411446756920624,0.5411446756920624
5,16,4,small,medium,benchmark,false,20.491,20.51238075,1,12,1.7024166666666665,1.7024166666666665,630044.0,630044.0,633472.0,633472.0,0.5411446756920624,0.5411446756920624
6,16,4,small,medium,benchmark,true,7.838,9.191241708,2,12,0.7773000000000001,0.634,704872.0,705972.0,717214.0,712344.0,1.7208253045813415,0.894511640443385
6,16,4,small,medium,benchmark,false,11.896,14.045347708,2,12,1.1840000000000002,1.0405,704872.0,705972.0,717214.0,712344.0,1.7208253045813415,0.894511640443385
7,16,4,small,medium,benchmark,true,5.848,7.662078333,3,14,0.58,0.446,694606.6666666666,694920.0,695530.0,695530.0,0.13275248132120776,0.08770290282230642
7,16,4,small,medium,benchmark,false,8.505,11.278140833,3,14,0.8455,0.685,694606.6666666666,694920.0,695530.0,695530.0,0.13275248132120776,0.08770290282230642
8,16,4,small,medium,benchmark,true,14.877,14.894051875,1,11,1.3454545454545455,1.3454545454545455,678792.0,678792.0,678792.0,678792.0,0.0,0.0
8,16,4,small,medium,benchmark,false,22.55,22.575862209,1,11,2.042090909090909,2.042090909090909,678792.0,678792.0,678792.0,678792.0,0.0,0.0
9,16,4,small,medium,benchmark,true,7.48,7.499251417,1,11,0.6740909090909092,0.6740909090909092,660230.0,660230.0,660230.0,660230.0,0.0,0.0
9,16,4,small,medium,benchmark,false,11.515,11.533366625,1,11,1.0411818181818182,1.0411818181818182,660230.0,660230.0,660230.0,660230.0,0.0,0.0
10,16,4,small,medium,benchmark,true,42.328,42.360458167,1,14,3.013571428571429,3.013571428571429,712946.0,712946.0,713300.0,713300.0,0.04962848731249192,0.04962848731249192
10,16,4,small,medium,benchmark,false,54.956,54.987181542,1,14,3.9154285714285715,3.9154285714285715,712946.0,712946.0,713300.0,713300.0,0.04962848731249192,0.04962848731249192
11,16,4,small,medium,benchmark,true,22.835,22.864358334,1,10,2.2752000000000003,2.2752000000000003,647118.0,647118.0,647118.0,647118.0,0.0,0.0
11,16,4,small,medium,benchmark,false,33.018,33.046949,1,10,3.2945,3.2945,647118.0,647118.0,647118.0,647118.0,0.0,0.0
12,16,4,small,medium,benchmark,true,7.708,7.7229145,1,10,0.7656,0.7656,580077.0,580077.0,580077.0,580077.0,0.0,0.0
12,16,4,small,medium,benchmark,false,11.505,11.519188208,1,10,1.1452,1.1452,580077.0,580077.0,580077.0,580077.0,0.0,0.0
13,16,4,small,medium,benchmark,true,6.073,6.090033542,1,9,0.6711111111111111,0.6711111111111111,756618.0,756618.0,761288.0,761288.0,0.6134340748836231,0.6134340748836231
13,16,4,small,medium,benchmark,false,8.722,8.739338709,1,9,0.9652222222222222,0.9652222222222222,756618.0,756618.0,761288.0,761288.0,0.6134340748836231,0.6134340748836231
14,16,4,small,medium,benchmark,true,5.825,6.824971958,2,11,0.6425555555555555,0.4765,801308.0,802301.0,808150.0,808150.0,0.8466250077337145,0.7237517787539449
14,16,4,small,medium,benchmark,false,8.435,9.944423208,2,11,0.9317777777777777,0.7304999999999999,801308.0,802301.0,808150.0,808150.0,0.8466250077337145,0.7237517787539449
15,16,4,small,medium,benchmark,true,5.974,6.001139583,1,8,0.7418750000000001,0.7418750000000001,748453.9999999998,748453.9999999998,748454.0,748454.0,3.3306690738754696e-14,3.3306690738754696e-14
15,16,4,small,medium,benchmark,false,8.928,8.954822542,1,8,1.1086250000000002,1.1086250000000002,748453.9999999998,748453.9999999998,748454.0,748454.0,3.3306690738754696e-14,3.3306690738754696e-14
16,16,4,small,medium,benchmark,true,10.021,10.050882334,1,16,0.623125,0.623125,840765.0,840765.0,844934.0,844934.0,0.4934113197007095,0.4934113197007095
16,16,4,small,medium,benchmark,false,14.549,14.568857208,1,16,0.9060000000000001,0.9060000000000001,840765.0,840765.0,844934.0,844934.0,0.4934113197007095,0.4934113197007095
17,16,4,small,medium,benchmark,true,6.296,8.820814084,2,15,0.6261999999999999,0.49559999999999993,789933.3333333333,799980.0,801710.0,801710.0,1.4689434666733336,0.21578875154357746
17,16,4,small,medium,benchmark,false,10.305,14.523356459,2,15,1.0271000000000001,0.8346,789933.3333333333,799980.0,801710.0,801710.0,1.4689434666733336,0.21578875154357746
18,16,4,small,medium,benchmark,true,9.249,9.285958667,1,10,0.9176,0.9176,663967.0,663967.0,677437.0,677437.0,1.9883767789477091,1.9883767789477091
18,16,4,small,medium,benchmark,false,13.168,13.191004625,1,10,1.31,1.31,663967.0,663967.0,677437.0,677437.0,1.9883767789477091,1.9883767789477091
19,16,4,small,medium,benchmark,true,8.125,8.141683334,1,8,1.00875,1.00875,692192.0,692192.0,692192.0,692192.0,0.0,0.0
19,16,4,small,medium,benchmark,false,12.096,12.112087333,1,8,1.5060000000000002,1.5060000000000002,692192.0,692192.0,692192.0,692192.0,0.0,0.0
